"land_id","study","barrel","bullet","land","source","H173_B1_index","damaged","cc","cc_pred","cc_manual","groove_left","groove_right"
"Hamby173-Br7-B2-L4","Hamby173","7","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land4.x3p","Hamby173-Br7-B1-L4",FALSE,50,50,FALSE,385.9375,2311.51787710388
"Hamby173-Br7-B2-L5","Hamby173","7","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land5.x3p","Hamby173-Br7-B1-L5",FALSE,207.8125,25,TRUE,356.419852913777,2298.4375
"Hamby173-Br7-B2-L6","Hamby173","7","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land6.x3p","Hamby173-Br7-B1-L6",FALSE,25,25,FALSE,384.419320087188,2175.74029567616
"Hamby173-Br8-B1-L1","Hamby173","8","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land1.x3p","Hamby173-Br8-B1-L1",FALSE,87.5,87.5,FALSE,384.375,2325
"Hamby173-Br8-B1-L2","Hamby173","8","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land2.x3p","Hamby173-Br8-B1-L2",TRUE,75,75,FALSE,296.875,2232.8125
"Hamby173-Br8-B1-L3","Hamby173","8","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land3.x3p","Hamby173-Br8-B1-L3",FALSE,0,0,FALSE,187.5,2153.125
"Hamby173-Br8-B1-L4","Hamby173","8","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land4.x3p","Hamby173-Br8-B1-L4",FALSE,25,25,FALSE,320.3125,2281.25
"Hamby173-Br8-B1-L5","Hamby173","8","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land5.x3p","Hamby173-Br8-B1-L5",FALSE,75,75,FALSE,284.375,2243.75
"Hamby173-Br8-B1-L6","Hamby173","8","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_1_land6.x3p","Hamby173-Br8-B1-L6",FALSE,64.0625,64.0625,FALSE,390.011749032553,2273.73675302475
"Hamby173-Br8-B2-L1","Hamby173","8","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land1.x3p","Hamby173-Br8-B1-L4",TRUE,48.4375,150,TRUE,287.5,2232.87574072077
"Hamby173-Br8-B2-L2","Hamby173","8","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land2.x3p","Hamby173-Br8-B1-L5",FALSE,0,0,FALSE,340.625,2289.0625
"Hamby173-Br8-B2-L3","Hamby173","8","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land3.x3p","Hamby173-Br8-B1-L6",FALSE,50,50,FALSE,485.242302026442,2348.46081309283
"Hamby173-Br8-B2-L4","Hamby173","8","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land4.x3p","Hamby173-Br8-B1-L1",FALSE,0,0,FALSE,304.380344567403,2207.8125
"Hamby173-Br8-B2-L5","Hamby173","8","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land5.x3p","Hamby173-Br8-B1-L2",FALSE,25,25,FALSE,309.375,2254.82603434761
"Hamby173-Br8-B2-L6","Hamby173","8","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br8_2_land6.x3p","Hamby173-Br8-B1-L3",FALSE,50,50,FALSE,301.5625,2232.8125
"Hamby173-Br9-B1-L1","Hamby173","9","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land1.x3p","Hamby173-Br9-B1-L1",FALSE,50,50,FALSE,373.4375,2310.9375
"Hamby173-Br9-B1-L2","Hamby173","9","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land2.x3p","Hamby173-Br9-B1-L2",FALSE,0,0,FALSE,345.3125,2303.125
"Hamby173-Br9-B1-L3","Hamby173","9","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land3.x3p","Hamby173-Br9-B1-L3",FALSE,0,0,FALSE,203.125,2181.25
"Hamby173-Br9-B1-L4","Hamby173","9","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land4.x3p","Hamby173-Br9-B1-L4",FALSE,50,50,FALSE,192.1875,2126.5625
"Hamby173-Br9-B1-L5","Hamby173","9","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land5.x3p","Hamby173-Br9-B1-L5",FALSE,50,50,FALSE,231.25,2193.75
"Hamby173-Br9-B1-L6","Hamby173","9","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_1_land6.x3p","Hamby173-Br9-B1-L6",FALSE,50,50,FALSE,248.4375,2145.3125
"Hamby173-Br9-B2-L1","Hamby173","9","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land1.x3p","Hamby173-Br9-B1-L5",FALSE,207.8125,25,TRUE,370.3125,2329.6875
"Hamby173-Br9-B2-L2","Hamby173","9","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land2.x3p","Hamby173-Br9-B1-L6",FALSE,225,225,FALSE,373.211042411877,2218.75
"Hamby173-Br9-B2-L3","Hamby173","9","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land3.x3p","Hamby173-Br9-B1-L1",FALSE,125,125,FALSE,457.066764375935,2357.8125
"Hamby173-Br9-B2-L4","Hamby173","9","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land4.x3p","Hamby173-Br9-B1-L2",FALSE,25,25,FALSE,356.25,2289.39347693302
"Hamby173-Br9-B2-L5","Hamby173","9","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land5.x3p","Hamby173-Br9-B1-L3",FALSE,25,25,FALSE,289.0625,2257.8125
"Hamby173-Br9-B2-L6","Hamby173","9","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br9_2_land6.x3p","Hamby173-Br9-B1-L4",FALSE,25,25,FALSE,317.1875,2260.9375
"Hamby173-BrUkn-BA-L1","Hamby173","Ukn","A",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/brA_1_land1.x3p","Hamby173-Br1-B1-L3",FALSE,75,75,FALSE,276.5625,2243.75
"Hamby173-BrUkn-BA-L2","Hamby173","Ukn","A",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/brA_1_land2.x3p","Hamby173-Br1-B1-L4",FALSE,50,50,FALSE,345.551119514706,2230.51738696064
"Hamby173-BrUkn-BA-L3","Hamby173","Ukn","A",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/brA_1_land3.x3p","Hamby173-Br1-B1-L5",FALSE,75,75,FALSE,365.625,2254.6875
"Hamby173-BrUkn-BA-L4","Hamby173","Ukn","A",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/brA_1_land4.x3p","Hamby173-Br1-B1-L6",FALSE,50,50,FALSE,417.1875,2357.05101791302
"Hamby173-BrUkn-BA-L5","Hamby173","Ukn","A",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/brA_1_land5.x3p","Hamby173-Br1-B1-L1",FALSE,100,100,FALSE,398.4375,2359.375
